,Facts,Cluster,x0,x1
0,life kragujevac relevant time journalist editorinchief svetlost weekly news magazine based town represented rakićević practising kragujevac represented agent jadrijević mladar submitted party summarised published svetlost published titled shame silence ćutanjem crvenila piece written far relevant kragujevac reason ashamed towards end head municipal branch office firstly city centre front main post office building falsely introduced street vendor market inspector invited car pretext certain document copied thereafter drove girl away karađorđeva street tried rape girl age romani origin resistance scream cry ultimately thwarted assailant underaged girl warned tell anyone happened give telephone number next day head municipal branch office called arranged meet met arrested also detained period fortyeight hour brought investigating assailant charged false impersonation unlawful deprivation liberty attempted rape commenced shall course conclusion local otherwise prompt come informing even much lesser simply kept silent incident press also received information investigating prosecution service otherwise also cooperative respect providing information concerning activity magazine indirectly found horrific ordeal suffered underaged fellow citizen provided information following receipt written request asking confirm deny detail learnt others nongovernmental organisation focused romani issue also stayed quiet underaged street vendor probably priority rich donor city administration likewise nothing respect official remain silent uncomfortable question soon answered power keep quiet attempted rape concerned romani girl anyone city administration intervene cover shameful incident idea thereby buy time make possible head municipal branch office strike deal gypsy paid withdraw attempted rape lastly importantly whose interest protect bully getting salary paid municipal budget free time attempting rape underaged fellow citizen long question remain unanswered power city kragujevac unable remove shame regarding incident date svetlost published another regarding alleged incident titled false inspector near kragujevac attempted rape underaged girl lažni inspektor kod kragujevca pokušao siluje maloletnicu piece written journalist employed svetlost far relevant head municipal branch office village near kragujevac brought investigating kragujevac first instance year suspicion committed unlawful deprivation liberty performing illicit sexual act underaged girl confirmed svetlost lodged underaged girl together mother selling year front main post office building kragujevac minor domestic supply explored fortyeight hour detention brought investigating despite incident taken place late issue usual press release received request regard lodged underaged girl state around introduced market inspector told could freely sell merchandise front post office building charge area one hour later returned car front post office building invited girl approach vehicle girl came near told enter car sign document locked front passenger door drove away scene explained girl certain document copied started touching leg according girl told false inspector could leave mother asked calm parking car karađorđeva street started touching kissing neck girl started screaming turned music loudly vehicle tore button trouser clip bra girl punched car window told calm would touch drove away nikola pašić street proposed coffee together told tell anyone happened one day later called girl phone mother answered arrangement made meeting take place front post office building instead met girl met taken station noted time publication two also editorinchief svetlost first second published page news magazine respectively following preliminary investigation charged kragujevac office osnovno javno tužilaštvo kragujevcu connection abovedescribed incident charge alleged committed crime unlawful deprivation liberty protivpravno lišenje slobode illicit performance sexual act nedozvoljene polne radnje kragujevac first instance osnovni sud kragujevcu thereafter heard alleged victim well number furthermore took account statement given documentation obtained course preliminary meantime alleged victim provided well mother courtcertified statement wherein fully recanted earlier accusing crime question kragujevac first instance acquitted charge following remittal acquitted charge upheld kragujevac apelacioni sud kragujevcu second instance thereby became final civil lodged civil defamation kragujevac high viši sud kragujevcu svetlost regarding two published ruled partly favour ordered svetlost pay jointly total serbian dinar rsd well statutory interest date account mental anguish suffered consequence breach honour reputation plus rsd cost furthermore ordered said two respondent publish without comment delay news magazine kragujevac high explained regard first specific reference thereof inter alia author stated committed crime unlawful deprivation liberty false impersonation attempted rape despite latter still pending thereby breaching presumed innocent furthermore included untrue statement reported committed crime attempted rape even though known pressed charge particular respect second prepared specifically regard thereof rejected plaintiff noting piece written accurately based information provided lastly noted existence statement reiterated bearing present since given publication question kragujevac partly amended delivered first instance ordered svetlost pay jointly total rsd approximately euro eur time account mental anguish suffered consequence breach honour reputation well statutory interest plus rsd cost approximately eur time obligation part respondent publish upheld reasoning essentially along line offered kragujevac high kragujevac nevertheless held inter alia award rsd excessive given existing interest informed incident question albeit appropriate manner also incorrectly stated title piece despite accurate text attempted rape underaged girl could considered figure someone withstand criticism since merely employed head municipal branch office local official službenik teritorijalnoj jedinici lokalne samouprave relied inter alia relevant provision obligation act information act summarised constitutional lodged constitutional ustavnu žalbu kragujevac constitutional ustavni sud dismissed noted inter alia unlawful divulge information concerning ongoing even information accurate breach one presumed innocent appropriate balance struck one hand protection reputation concerned civil hand done properly served constitutional enforcement lodged enforcement request predlog izvršenje kragujevac first instance regard civil kragujevac first instance issued enforcement rešenje izvršenju bailiff izvršitelj ordered pay within three day sum question noted inter alia fail comply entire property would subject enforcement izvršenje celokupnoj imovini according information provided since unemployed lacking movable asset relevance enforcement procedure also civil question yet enforced however stated flat living family could yet seek enforcement property confirmed civil issue remained unenforced relevant statement given kragujevac high part civil defamation recounted publication question called asked piece published response offered opportunity deny newsmagazines next issue refused offer wanted debate matter medium lastly informed would instead bringing regard visited neuropsychiatrist allegedly consequence distress suffered due publication date also provided certificate attesting temporarily incapable working average gross net monthly salary kragujevac rsd rsd approximately eur eur respectively relevant framework jurisprudence obligation act zakon obligacionim odnosima published official gazette socialist federal republic yugoslavia well official gazette federal republic yugoslavia inter alia anyone suffered mental anguish consequence breach honour reputation depending duration intensity said mental anguish sue financial compensation civil addition request form redress capable affording adequate nonpecuniary satisfaction information act zakon javnom informisanju published official gazette republic serbia provided prior publication information regarding occurrence certain journalist responsible editor verify origin veracity comprehensiveness due diligence provided inter alia protection one privacy limited holder state political position information question relevance given function limited proportion justified interest provided inter alia editorinchief medium outlet status responsible editor outlet responsible editor specific edition column programme held responsible content edited provided inter alia medium outlet could pronounce anyone guilty absence final another rendered connection provided inter alia suffered pecuniary andor nonpecuniary harm consequence incorrect incomplete information published medium outlet due publication information breach act entitled adequate compensation quite apart available redress provided inter alia editorinchief founder medium outlet would able establish due diligence inaccuracy incompleteness information prior publication bear joint liability pecuniary andor nonpecuniary damage caused publication information question obligation example also applied harm caused inadmissible publication accurate information regarding one private life concerned accusation involving commission act subsequently amended rendered constitutional ultimately repealed replaced legislation adopted city kragujevac establishment competency municipal branch office odluka obrazovanju delokrugu rada mesnih kancelarija published official gazette city kragujevac viii provided inter alia municipal branch office established purpose making easier citizen concerned benefit service local level provided inter alia municipal branch office perform technical task keep official record issue official certificate well prepare report statistic context rule internal organisation job classification issued kragujevac office local selfgovernment affair pravilnik unutrašnjoj organizaciji sistematizaciji radnih mesta gradskoj upravi mesnu samoupravu opštu upravu kragujevac rule provided inter alia executive employee working municipal branch office could engage activity keeping official record issuing various certificate preparing report statistic dealing civil matter could also take responsibility specific request municipal official encyclopaedia pravna enciklopedija volume savremena administracija belgrade needed necessary municipality set local branch office carry various function effectively branch office established base municipal regulation statutima opština remit defined adopted municipal assembly odlukama opštinskih skupština head local branch office shall municipal employee appointed either municipal assembly body authorised municipal assembly,,,
1,born life weinheim campaigner abortion operates antiabortion website distributed leaflet immediate vicinity medical practice leaflet contained inter alia following text front page know full name address performs abortion unlawful according caselaw federal constitutional wussten sie schon das abtreibungen durchführt die nach der rechtsprechung bundesverfassungsgerichts rechtswidrig sind underneath following smaller type according international aggravated murder intentional bringingtodeath innocent sinngemӓβ den internationalen strafgesetzen mord ist vorsӓtzliche tode bringen eines unschuldigen menschen back side folded leaflet contained following text aggravated murder auschwitz unlawful morally degraded state allowed aggravated murder innocent people make subject liability die ermordung der menschen auschwitz war rechtswidrig aber der moralisch verkommene nsstaat hatte den mord den unschuldigen menschen erlaubt und nicht unter strafe gestellt quoted part federal constitutional leading bverf regard abortion statement christoph wilhelm hufeland personal physician goethe schiller also cited conflict pregnancy act asked reader make use influence performing assisting abortion letter requested sign declaration cease desist refused published following statement website full name carrying abortion publicly show agrees abortion stand opinion instead considers leaflet campaign slander threatens interim injunction already given mandate lodge defamationslander ask unprincipled characterless wenn mit der durchführung von abtreibungen öffentlich bekundet das für abtreibungen ist dann sollte auch dazu stehen stattdessen sieht der flugblatt verteilaktion eine rufmordkampagne droht mit einer einstweiligen verfügung und hat bereits seinem rechtsanwalt die vollmacht gegeben eine strafanzeige wegen beleidigung verleumdung erwirken wir fragen ist stand und charakterlos subsequently applied karlsruhe regional civil injunction ordering internet plaintiff performed unlawful abortion disseminate leaflet containing name assertion unlawful abortion performed medical practice also lodged nonpecuniary damage amount euro eur pretrial fee date oral karlsruhe regional distributed second leaflet directly front practice among place deposited second leaflet mentioned name letterboxes immediate vicinity latter practice following front side leaflet near unlawful abortion silent aggravated murder child ihrer nähe rechtswidrige abtreibungen und sie schweigen zum mord unseren kindern emphasis original back folded leaflet contained following text prenatal infanticide meanwhile taken proportion bring mind new holocaust diese vorgeburtlichen kindstötungen haben mittlerweile ausmaße angenommen welche einen neuen holocaust erinnern emphasis original farther leaflet simply unable understand medical personnel doctor supposed help save life stoop take part aggravated murder noch weniger kann ich verstehen das mediziner und ärzte welche helfen und leben retten sollen sich fürs morden hergeben karlsruhe regional granted requested injunction ordered desist asserting publicly writing orally internet well leaflet plaintiff performed unlawful abortion medical practice addition regional awarded compensation pecuniary damage requested plaintiff eur dismissed respect nonpecuniary damage held statement protected contributed debate moreover classified statement information abortion unlawful line constitutional incorrect however conjunction whole leaflet statement pillory effect amounted serious interference personality justified came conclusion based singled mentioning name distributing leaflet vicinity practice quoted federal constitutional part omitted part stated doctor subject liability implied defining aggravated murder committed associated holocaust nonetheless regard nonpecuniary damage concluded even though attack reputation grave enough justify injunction sufficiently serious justify nonpecuniary damage appealed regional additionally expanded action include second leaflet subsequently became subject matter karlsruhe karlsruhe confirmed reasoning regional essence dismissed however partly modified regional concerning precise wording requested injunction ordered desist asserting performed unlawful abortion medical practice asserting direct connection aggravated murder intentional bringingtodeath innocent ordered desist asserting performed unlawful abortion causing infanticide outset emphasised view abortion subject liability compatible higherranking fell within however also noted wording statement showed labelled abortion performed plaintiff aggravated murder could tolerated neither statement considered statement considered value view created unacceptable pillory effect singling plaintiff given reason regard noted involved debate abortion way regard second leaflet held even though mentioned name referred distributed front medical practice deposited letterboxes vicinity similarly first leaflet negligible part reader would understood leaflet professional activity constituted aggravated murder however even understood nonlegal sense leaflet made understood conducted illegal punishable abortion since clarified criticising abortion according caselaw federal constitutional unlawful subject liability exceeded limit justifiable criticism damage upheld firstinstance also grant leave point federal refused request aid denial leave point ground intended point lacked sufficient prospect success federal constitutional refused admit lodged adjudication inadmissible without providing reason relevant domestic practice relevant domestic practice set annen,,,
2,company limited company aktsiaselts registered estonia background company owner delfi internet news portal publishes news day delfi one largest news portal internet estonia publishes news estonian russian estonia also operates latvia lithuania material time end body news word add comment field comment commenters name email address optional field button publish comment comment part reading comment left others separate area could accessed clicking comment button comment uploaded automatically edited moderated company received reader comment daily majority posted pseudonym nevertheless system notifyandtakedown place reader could mark comment leim estonian word insulting mocking message message inciting hatred internet comment removed expeditiously furthermore system automatic deletion comment included certain stem obscene word addition victim defamatory comment could directly notify company comment removed immediately company made effort advise user comment opinion author comment responsible content delfis internet site rule comment included following delfi message board technical medium allowing user publish comment delfi doe edit comment author comment liable hisher comment worth noting estonian author punished content comment delfi prohibits comment content doe comply good practice comment contain threat contain insult incite hostility violence incite illegal activity contain obscene vulgarity delfi remove comment restrict author access writing comment functioning noticeandtakedown system also explained text submitted estonia delfi notorious history publishing defaming degrading comment thus weekly newspaper eesti ekspress published letter editorial board minister chief chancellor concern expressed incessant taunting people website estonia delfi named source brutal arrogant mockery comment published internet news portal company published delfi portal heading slk destroyed planned ice road ice road road frozen sea open estonian mainland island winter abbreviation slk stand saaremaa laevakompanii saaremaa shipping company limited company slk provides ferry transport service mainland island member supervisory board slk company sole majority shareholder material time attracted comment twenty contained personal threat offensive language directed requested company remove offensive comment claimed kroon eek approximately euro eur compensation nonpecuniary damage request concerned following twenty comment current väinameri open water closer place referred ice thinner proposal let let kuressaare stick put bag fucking shitheadsthey bath money anyways thanks monopoly state subsidy started fear car drive island couple day without anything filling purse burn ship sick jew good initiative broken line web flamers ahead guy oven little drown aha hardly believe happened accident asshole fck rascal russian whining kill bastard future one know risk even one little life bloody lynched warn islander wouldbe men nothing like done much deserves doesnt good man life long shitty man day two iceroad one could easily save full car fckng pay economy take hour ferry good icebreaker break ice pärnu port instead fcking monkey pas strait anyways drown fault cant anyone defy shit inhabitant saaremaa hiiumaa island dope wonder whether wont trashed saaremaa screw one owns like people chatter couple day internet crook also backed elected represent pocket money pay attention flaming one give shit big crook also used bos around greed stroke back rip also strike back crook sooner later sow shall reap nevertheless contained lynching state powerless respect really govern state live today tomorrow flood get blow cakedamn soon put cauldron fire smoke rising chimney sauna crow saaremaa thinking thata pig going slaughtered way bastard ofelia also ice class excuse ola required estonian state led scum financed scum course doe prevent punish antisocial act scum well michaelmas compared ram michaelmas actually sorry act sudden happen sick leave also next destruction ice road dear act like pig third time fucking bastard could gone home baby soon anyways company guarantee normal ferry service price real creep question arises whose pocket mouth filled money acting like pig year year cant make bread shit paper internet stand everything fun really state care people opinion fun greed money pee ear also shit onto head day offensive comment removed company company responded request informed comment removed noticeandtakedown obligation refused damage civil company brought civil suit harju county company representative company submitted inter alia like bronze night disorder related relocation bronze soldier monument delfi removed comment per day also initiative dismissed county found company responsibility excluded information society service act infoühiskonna teenuse seadus based directive electronic commerce directive parliament certain aspect information society service particular electronic commerce internal market considered comment environment company news portal distinguished portal journalistic area administration former company essentially mechanical passive nature company could considered publisher comment obligation monitor tallinn allowed considered county erred finding company responsibility excluded information society service act county quashed referred back firstinstance new consideration declined hear company harju county reexamined found accordance instruction relied obligation act võlaõigusseadus deemed information society service act inapplicable observed company placed note internet site comment edited prohibited post comment contrary good practice company reserved remove comment system put place whereby user could notify company inappropriate comment however county considered insufficient allow adequate protection personality others found company considered publisher comment could avoid responsibility publishing disclaimer liable content comment county found news published delfi news portal balanced one number comment however vulgar form humiliating defamatory impaired honour dignity reputation comment went beyond justified criticism amounted simple insult concluded extend protection comment concerned personality violated awarded eek eur nonpecuniary damage tallinn upheld county emphasised company required exercise preliminary control comment posted news portal however chosen created effective system would ensured rapid removal unlawful comment portal considered measure taken company insufficient contrary principle good faith place burden monitoring comment potential victim rejected company argument responsibility excluded basis information society service act noted company technical intermediary respect comment activity merely technical automatic passive nature instead invited user add comment thus company provider content service rather technical service dismissed company upheld substance partly modified reasoning approved lower interpretation information society service act reiterated information society service provider falling act directive electronic commerce neither knowledge control information transmitted stored contrast provider content service governed content information stored present company integrated comment environment news portal invited user post comment number comment effect number visit portal company revenue advertisement published portal thus company economic interest comment company write comment imply control comment environment enacted rule comment removed comment rule breached user contrary could change delete comment posted could merely report obscene comment thus company could determine comment published made use possibility mean control publishing comment furthermore considered present company author comment considered publisher comment context also referred economic interest internet portal administrator made publisher entrepreneur similarly publisher printed medium found plaintiff free choose bring suit chosen bring suit company found basis obligation avoid causing damage company prevented clearly unlawful comment published furthermore comment published failed remove initiative although must aware unlawfulness rightly found company failure act unlawful subsequent development according information posted delfi internet portal delfi allow posted offensive comment post new comment commenter accepted rule commenting furthermore announced delfi set team moderator carried followup moderation comment posted portal first moderator reviewed user notice inappropriate comment compliance comment rule commenting monitored well according information published number comment posted delfis reader delfis moderator removed comment mainly consisting spam irrelevant comment share defamatory comment total number comment relevant domestic practice constitution republic estonia eesti vabariigi põhiseadus provides one honour good name shall defamed everyone free selfrealisation everyone shall honour consider others shall observe exercising fulfilling duty everyone freely disseminate idea opinion belief information word print picture mean restricted protect moral health honour good name others also restricted state local servant protect state business secret information received confidence become known reason office family private life others well interest censorship civil code general principle act tsiviilseadustiku üldosa seadus provides shall exercised obligation performed good faith shall exercised unlawful manner aim causing damage another obligation act võlaõigusseadus provides obligation compensate damage arising violation personality particular defamation obligated shall compensate aggrieved nonpecuniary damage justified gravity violation particular physical emotional distress obligation act provides tortfeasor unlawfully damage another victim shall compensate damage tortfeasor culpable süüdi causing damage liable vastutab causing damage pursuant obligation act stipulates causing damage unlawful inter alia damage caused violation personality victim obligation act provides unlawfulness damage personality defamation inter alia passing undue unjustified use name image breaching inviolability private life another personality unlawful unless otherwise provided upon establishment unlawfulness type violation reason motive violation gravity violation relative aim pursued thereby shall taken consideration violation personality unlawful violation justified view protected third party interest unlawfulness shall established basis comparative assessment different interest protected unlawfulness disclosure incorrect information violation personality interference economic professional activity way disclosure avaldamine incorrect information incomplete misleading disclosure information concerning activity unlawful unless discloses information prof upon disclosure thereof aware required aware information incorrect incomplete disclosure defamatory matter concerning matter adversely affect economic situation deemed unlawful unless discloses matter prof statement make true regardless provision subsection disclosure information matter deemed unlawful discloses information matter matter disclosed legitimate interest disclosure discloses information checked information matter thoroughness corresponds gravity potential violation disclosure incorrect information victim demand disclosed information refute information publish correction expense regardless whether disclosure information unlawful prohibition damaging action unlawful damage caused continually threat made unlawful damage caused victim threatened demand behaviour damage terminated making threat behaviour refrained bodily injury damage health violation inviolability personal life personality demanded inter alia tortfeasor prohibited approaching others restraining use housing communication regulated similar measure applied demand behaviour damage specified subsection terminated doe apply reasonable expect behaviour tolerated coexistence due significant interest victim make compensation damage caused unlawfully information society service act infoühiskonna teenuse seadus provides restricted liability upon mere transmission information provision access data communication network service provided consists mere transmission data communication network information provided recipient service provision access data communication network service provider liable information transmitted condition provider doe initiate transmission doe select receiver transmission doe select modify information contained transmission act transmission provision access within meaning include automatic intermediate transient storage information transmitted far take place sole purpose carrying transmission data communication network provided information stored period longer reasonably necessary transmission restricted liability upon temporary storage information cache memory service provided consists transmission data communication network information provided recipient service service provider liable automatic intermediate temporary storage information method transmission concerned requires caching technical reason caching performed sole purpose making efficient information onward transmission recipient service request condition provider doe modify information provider complies condition access information provider complies rule regarding updating information specified manner widely recognised used industry provider doe interfere lawful use technology widely recognised used industry obtain data use information provider act expeditiously remove disable access information stored upon obtaining actual knowledge information initial source transmission removed network access disabled state supervisory authority ordered removal restricted liability upon provision information storage service service provided consists storage information provided recipient service service provider liable information stored request recipient service condition provider doe actual knowledge content information regard damage aware circumstance illegal activity information apparent provider upon obtaining knowledge awareness specified subparagraph act expeditiously remove disable access information shall apply recipient service acting authority control provider obligation monitor service provider specified act obliged monitor information upon mere transmission thereof provision access thereto temporary storage thereof cache memory storage thereof request recipient service service provider obliged actively seek information circumstance indicating illegal activity provision restrict official exercising supervision request disclosure information service provider service provider required promptly inform competent supervisory authority alleged illegal activity undertaken information provided recipient service specified act communicate competent authority information enabling identification recipient service storage agreement found purpose obligation act disclosure avaldamine meant disclosure information third party transmitted information medium publisher meediaväljaanne could considered discloser avaldaja even publisher ajaleheartikli avaldaja question reiterated position subsequent example number domestic action defamation brought several including example publisher newspaper author publisher newspaper interviewee solely publisher newspaper iii relevant international materiala europe document committee minister europe adopted meeting minister deputy declaration communication internet relevant part member state europe convinced also necessary limit liability service provider act mere transmitter good faith provide access host content third party recalling respect directive parliament certain aspect information society service particular electronic commerce internal market directive electronic commerce stressing communication internet prejudice dignity fundamental others especially minor considering balance found respecting user internet disclose identity need enforcement authority trace responsible act declare seek abide following principle field communication internet principle content rule internet member state subject content internet restriction applied mean content delivery principle absence prior state control authority general blocking filtering measure deny access information communication internet regardless frontier doe prevent installation filter protection minor particular place accessible school library provided safeguard convention protection fundamental respected measure taken enforce removal clearly identifiable internet content alternatively blockage access competent national authority taken provisional final illegality principle limited liability service provider internet content member state impose service provider general obligation monitor content internet give access transmit store actively seeking circumstance indicating illegal activity member state ensure service provider held liable content internet function limited defined national transmitting information providing access internet function service provider wider store content emanating party member state hold coresponsible act expeditiously remove disable access information service soon become aware defined national illegal nature damage circumstance revealing illegality activity information defining national obligation service provider set previous due care must taken respect made information available first place well corresponding user information abovementioned limitation liability affect possibility issuing injunction service provider required terminate prevent extent possible infringement principle anonymity ensure protection online surveillance enhance free information idea member state respect user internet disclose identity doe prevent member state taking measure cooperating trace responsible act accordance national convention protection fundamental international agreement field document directive directive parliament certain aspect information society service particular electronic commerce internal market directive electronic commerce provides free movement information society service many specific reflection community general principle namely enshrined convention protection fundamental ratified member state reason directive covering supply information society service must ensure activity engaged freely light subject restriction laid treaty directive intended affect national fundamental rule principle relating exemption liability established directive cover activity information society service provider limited technical process operating giving access communication network information made available third party transmitted temporarily stored sole purpose making transmission efficient activity mere technical automatic passive nature implies information society service provider neither knowledge control information transmitted stored service provider benefit exemption mere conduit caching way involved information transmitted requires among thing doe modify information transmits requirement doe cover manipulation technical nature take place course transmission alter integrity information contained transmission service provider deliberately collaborates one recipient service undertake illegal act beyond activity mere conduit caching result benefit liability exemption established activity limitation liability intermediary service provider established directive affect possibility injunction different kind injunction particular consist authority requiring termination prevention infringement including removal illegal information disabling access benefit limitation liability provider information society service consisting storage information upon obtaining actual knowledge awareness illegal activity act expeditiously remove disable access information concerned removal disabling access undertaken observance principle procedure established purpose national level directive doe affect member state possibility establishing specific requirement must fulfilled expeditiously prior removal disabling information member state prevented imposing monitoring obligation service provider respect obligation general nature doe concern monitoring obligation specific particular doe affect national authority accordance national legislation directive doe affect possibility member state requiring service provider host information provided recipient service apply duty care reasonably expected specified national detect prevent certain type illegal activity objective scope directive seek contribute proper functioning internal market ensuring free movement information society service member state definition purpose directive following term shall bear following meaningsa information society service service within meaning directive amended directive ecb service provider natural providing information society servicec established service provider service provider effectively pursues economic activity using fixed establishment indefinite period presence use technical mean technology required provide service constitute establishment provider liability intermediary service provider mere conduit information society service provided consists transmission communication network information provided recipient service provision access communication network member state shall ensure service provider liable information transmitted condition providera doe initiate transmissionb doe select receiver transmission andc doe select modify information contained transmission act transmission provision access referred include automatic intermediate transient storage information transmitted far take place sole purpose carrying transmission communication network provided information stored period longer reasonably necessary transmission shall affect possibility authority accordance member state system requiring service provider terminate prevent infringement caching information society service provided consists transmission communication network information provided recipient service member state shall ensure service provider liable automatic intermediate temporary storage information performed sole purpose making efficient information onward transmission recipient service upon request condition thata provider doe modify informationb provider complies condition access informationc provider complies rule regarding updating information specified manner widely recognised used industryd provider doe interfere lawful use technology widely recognised used industry obtain data use information ande provider act expeditiously remove disable access information stored upon obtaining actual knowledge information initial source transmission removed network access disabled authority ordered removal disablement shall affect possibility authority accordance member state system requiring service provider terminate prevent infringement hosting information society service provided consists storage information provided recipient service member state shall ensure service provider liable information stored request recipient service condition thata provider doe actual knowledge illegal activity information regard damage aware circumstance illegal activity information apparent orb provider upon obtaining knowledge awareness act expeditiously remove disable access information shall apply recipient service acting authority control provider shall affect possibility authority accordance member state system requiring service provider terminate prevent infringement doe affect possibility member state establishing procedure governing removal disabling access information general obligation monitor member state shall impose general obligation provider providing service covered monitor information transmit store general obligation actively seek circumstance indicating illegal activity member state establish obligation information society service provider promptly inform competent authority alleged illegal activity undertaken information provided recipient service obligation communicate competent authority request information enabling identification recipient service storage agreement directive amended directive directive parliament laying procedure provision information field technical standard regulation rule information society service amended directive provides purpose directive following meaning shall apply service information society service say service normally provided remuneration distance electronic mean individual request recipient service purpose definition distance mean service provided without party simultaneously present electronic mean mean service sent initially received destination mean electronic equipment processing including digital compression storage data entirely transmitted conveyed received wire radio optical mean electromagnetic mean individual request recipient service mean service provided transmission data individual request indicative list service covered definition set annex vthis directive shall apply radio broadcasting service television broadcasting service covered point directive eec caselaw joined google france google ecr considered establish whether liability referencing service provider limited directive necessary examine whether role played service provider neutral sense conduct merely technical automatic passive pointing lack knowledge control data store directive electronic commerce must interpreted meaning rule laid therein applies internet referencing service provider service provider played active role kind give knowledge control data stored played role service provider held liable data stored request advertiser unless obtained knowledge unlawful nature data advertiser activity failed act expeditiously remove disable access data concerned loréal others ruled directive interpreted applying operator online marketplace operator played active role allowing knowledge control data stored operator played role provided assistance entailed particular optimising presentation offer sale question promoting operator online marketplace played active role service provided fell consequence within scope directive operator none could could result pay damage rely exemption liability provided aware circumstance basis diligent economic operator realised offer sale question unlawful aware failed act expeditiously accordance directive scarlet extended ruled injunction made internet service provider required install system filtering electronic communication passing via service particular involving use peertopeer software applied indiscriminately customer preventive measure exclusively expense unlimited period capable identifying provider network movement electronic file containing musical cinematographic audiovisual work respect claimed hold intellectual property view blocking transfer file sharing would infringe copyright,,,
3,newspaper published baku personality azerbaijani second founder editorinchief khural born life baku represented sadigov hajili based baku strasbourg respectively represented agent əsgərov summarised civil defamation first concerning wellknown highranking official head presidential administration ramiz mehdiyev alleged relationship prominent azerbaijani poet bakhtiyar vahabzade exhead executive authority sheki ashraf mammadov published khural title ramiz mehdiyevs plan finish bakhtiyar vahabzade head presidential administration punish sheki community head executive authority relevant extract appear elchin ugurtaj mentioned author material submitted clear whether name question real pen name lodged civil action first narimanov district arguing abovementioned contained false statement damaging honour dignity professional reputation asked first issue apology refutation pay azerbaijani manat azn nonpecuniary damage transferred orphanage argued particular title impugned certain extract defamatory extract concerned followsi incident described called mafia press published gundam khabar happened one district baku sheki one gravely insulted ordinary man bakhtiyar vahabzade famous azerbaijani poet yes exhead executive authority sheki ashraf mammadov given ramiz mehdiyev allow bakhtiyar vahabzade elected part serious plan manner mehdiyev wanted gain revenge bakhtiyar vahabzade hated many yearsii ashraf mammadovs black day began refused obey ramiz mehdiyevs one would forget wellknown happened sheki parliamentary election yes indeed scheme sheki community ashraf mammadov punished ramiz mehdiyev failed implement big plan plan crush bakhtiyar vahabzade sheki revenge takeniii rumoured late president heydar aliyev allow central election commission annul bakhtiyar vahabzades deputy mandate thus proved mehdiyev last word also rumoured mehdiyev taken initiativeiv bakhtiyar vahabzade became enemy ramiz mehdiyev latter played key role machine importing harmful idea azerbaijan clear reason bakhtiyar vahabzade targeted turkic nationalist mehdiyev insulted bakhtiyar vahabzade also plotted conspiracy theory none succeeded mehdiyev taking revenge bakhtiyar vahabzade perpetuating name latter death according information submitted cited one abovementioned statement refer riot broken sheki narimanov district allowed rms civil action finding title extract defamatory firstinstance noted particular title extract suggested hated therefore tried without success prevent elected member parliament organised sheki punish disobeying tried bvs mandate called prevented memorialising latter death furthermore noted statement affecting rms reputation lacking factual basis first failed submit proving question constituted abuse firstinstance ordered first issue apology refutation first also ordered pay azn material time equivalent approximately euro eur respect nonpecuniary damage transferred orphanage requested plaintiff first appealed arguing publishing question performed role watchdog reporting topic high interest wellknown highranking official displayed greater degree tolerance criticism statement made constituted value therefore susceptible proof merely reproduced commented information published earlier gundam khabar gündəm xəbər newspaper entitled mafia press mafiya mətbuat relevant part abovementioned published gundam khabar stated following exhead executive authority one biggest district baku told happened said writer lived district many year run candidate parliamentary election sometime election ramiz mehdiyev called ordered ensure another indicated elected forced obey ramiz mehdiyevs baku upheld firstinstance reiterating ground firstinstance referred first lodged cassation reiterating earlier dismissed unfounded upheld lower reiterating ground lower referred development according publish apology refutation pay nonpecuniary damage ordered domestic according property belonging first computer printer heating device telephone seized qərardad given narimanov district day ensure payment award nonpecuniary damage question inter alia according abovementioned seizure belonging khural ceased publication however appears internet version wwwxuralcom remained active clear whether newspaper resumed publication paper version later stage according published internet version khural publishing house refused publish khural therefore first staff decided publish new newspaper called asi asi̇ clear whether plan publish new newspaper ever came fruition relevant framework relevant part civil code civil code provided protection honour dignity business reputation individual entitled obtain way retraction information harming honour dignity business reputation disclosing secret relating private family life breaching personal family inviolability provided disseminated information fails prove information true rule shall also apply incomplete publication factual information result honour dignity business reputation individual harmed information harming honour dignity business reputation individual invading secrecy private family life disseminated mass medium information shall retracted mass medium source mass medium publish information breaching individual interest protected individual publish reply mass medium source addition seek retraction information harming honour dignity business reputation individual compensation damage caused dissemination information,,,
